Realm	Subrealm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Picornavirales		Picornaviridae	Paavivirinae	Aalivirus		Aalivirus apekidu	ICTV20175589
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus dagda	ICTV201908380
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus katbat	ICTV201908381
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus luksen	ICTV201908382
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Aarhusvirus		Aarhusvirus mysterion	ICTV201908383
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Atkinsviridae		Aastrivirus		Aastrivirus faecicola	ICTV202316036
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Abaestuovirus		Abaestuovirus 8	ICTV202522018
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abaiavirus		Abaiavirus POA1180	ICTV202214701
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abbeymikolonvirus		Abbeymikolonvirus abbeymikolon	ICTV201907712
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Baphyvirales		Bacilladnaviridae		Aberdnavirus		Aberdnavirus waitai	ICTV202214992
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus Ab18	ICTV20164973
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus Ab19	ICTV20164974
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus PaMx11	ICTV20164975
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Mesyanzhinovviridae	Bradleyvirinae	Abidjanvirus		Abidjanvirus ZC01	ICTV202112412
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abouovirus		Abouovirus abouo	ICTV20164846
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Abouovirus		Abouovirus davies	ICTV20164847
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus PM116	ICTV201908578
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus PM85	ICTV201908579
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus PM93	ICTV201908576
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus Pm5460	ICTV201908577
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus bigMiraUFV01	ICTV202421046
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autosignataviridae	Molineuxvirinae	Acadevirus		Acadevirus premi	ICTV202421047
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus acadian	ICTV20140408
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus baee	ICTV20164948
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus reprobate	ICTV20164949
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Bclasvirinae	Acadianvirus		Acadianvirus serendipitous	ICTV202113192
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Straboviridae	Twarogvirinae	Acajnonavirus		Acajnonavirus acj9	ICTV202012076
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus apogeeis	ICTV202318947
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus cometis	ICTV202318948
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus faculaes	ICTV202318949
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus lunaes	ICTV202318950
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus nebulais	ICTV202318951
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus parsecis	ICTV202318952
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus perigeeis	ICTV202318953
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Mahapunaviridae		Acamarivirus		Acamarivirus solis	ICTV202318954
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Rheph16	ICTV202214819
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Rheph22	ICTV202214818
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Y26	ICTV202214817
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Schitoviridae	Demetervirinae	Acanvirus		Acanvirus Y38	ICTV202214816
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Peduoviridae		Acarajevirus		Acarajevirus bahia	ICTV202523310
Floreoviria		Shotokuvirae	Cressdnaviricota		Repensiviricetes		Geplafuvirales		Geplanaviridae		Acciovirus		Acciovirus arizlamas	ICTV202318484
Floreoviria		Shotokuvirae	Cressdnaviricota		Repensiviricetes		Geplafuvirales		Geplanaviridae		Acciovirus		Acciovirus quadrimis	ICTV202318485
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Munstervirinae	Aceathervirus		Aceathervirus RM10	ICTV202319214
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Pantevenvirales		Kyanoviridae		Acionnavirus		Acionnavirus monteraybay	ICTV201907799
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Aclydivirus		Aclydivirus 6	ICTV202521995
Efunaviria		Loebvirae	Hofneiviricota		Faserviricetes		Tubulavirales		Inoviridae		Acontivirus		Acontivirus 21	ICTV202522017
